SubjectID,researchdate,BrandID,Brand,CategoryDelivery,daily_ots,score,threshold,reason
216178771397981588,2025-08-24,216181,redmi,Смартфоны,188681.052,1.378366,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=4
1585271561336766040,2025-08-25,210685,loreal,Краски для волос,90123.492,1.083564,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=4
1585271561337034979,2025-08-27,219742,timberk,Малая техника,112814.142,1.356376,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=6
2388593940434537216,2025-08-27,210322,lg,Крупная техника,121452.42,1.460235,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=15
4107288419676846194,2025-08-27,216114,realme,Смартфоны,270148.236,1.973505,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=12
4107288419676846194,2025-08-27,369276,iqoo,Смартфоны,157586.471,1.151211,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=7
4107288419676846194,2025-08-27,215234,poco,Смартфоны,157586.471,1.021353,154291.826538,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=7
5404327400063577413,2025-08-27,213474,nike,Обувь,233412.68,1.856093,125754.821374,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=20
2738194092690289087,2025-08-28,198484,apple iphone,Смартфоны,461276.718,2.629442,175427.606026,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=7
4107288419676846194,2025-08-28,216114,realme,Смартфоны,202577.877,1.479886,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=9
1585271561336901830,2025-08-29,203071,dexp,Крупная техника,85489.48,1.027849,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=5
5116096277414528843,2025-08-29,208796,kappa,Одежда,147314.532,1.445851,101887.747644,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=12
1585271561336901830,2025-08-30,203071,dexp,Крупная техника,104842.554,1.260533,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=6
3747000630363940378,2025-08-30,281079,samsung galaxy,Смартфоны,161135.176,1.056835,152469.548181,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=8
3684346221097551104,2025-08-31,215020,pierre cardin,Обувь,107986.488,1.298332,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=4
1585271561336939603,2025-09-01,214544,pampers,Подгузники,159791.478,1.921189,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=6
5116095829525861647,2025-09-02,206223,glissade,Одежда,152880.21,1.838094,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=5
1585271561337001691,2025-09-03,202845,defender,Аудиотехника,139257.498,1.256131,110862.231773,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=3
1585271561337001691,2025-09-03,217082,samsung,Крупная техника,92838.332,1.116205,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=2
1729388589032331985,2025-09-03,205297,florida,Корм для кошек,122463.872,1.472395,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=4
2388593940434537216,2025-09-05,203071,dexp,Крупная техника,145820.88,1.753219,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=18
2819265587255210048,2025-09-05,221942,xiaomi,Смартфоны,159047.868,1.161887,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=6
1585271561336914069,2025-09-06,207447,honor,Смартфоны,168150.276,1.228383,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=18
3747000630363940378,2025-09-06,281079,samsung galaxy,Смартфоны,374530.06,2.456425,152469.548181,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=20
7576643904375722625,2025-09-06,236987,сбер,Крупная техника,165767.532,1.99304,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=7
1585271561336939603,2025-09-08,213067,nestle nan,Детское питание,131060.8,1.53745,85245.555135,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=5
1585271561336939603,2025-09-09,213067,nestle nan,Детское питание,105734.784,1.240355,85245.555135,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=4
